well_id,depth_m,gamma_ray_api,resistivity_ohmm,density_gcc,neutron_porosity_vv,sonic_usft,caliper_in,hydrocarbon_probability,lithology
mywell,2004.0591,71.3404,5.3963,2.2473,0.255664,114.703,8.5,0.0674,Silty Sand
mywell,2004.2115,58.5996,5.8622,2.1657,0.213336,109.045,8.5,0.0871,Silty Sand
mywell,2004.3639,40.9842,6.1725,2.1948,0.229864,102.304,8.5,0.1581,Sandstone
mywell,2004.5163,31.4626,6.0768,2.2079,0.258768,101.382,8.5,0.1971,Sandstone
mywell,2004.6687,32.2818,6.203,2.1515,0.271896,102.491,8.5,0.1954,Sandstone
mywell,2004.8211,33.1005,6.3945,2.1143,0.200576,101.632,8.5,0.1624,Sandstone
mywell,2004.9735,34.5325,6.4069,2.1428,0.361696,101.997,8.5,0.2637,Sandstone
mywell,2005.1259,33.8307,6.406,2.1648,0.32828,99.768,8.5,0.2329,Sandstone
mywell,2005.2783,31.0127,6.3713,2.1571,0.290304,101.238,8.5,0.218,Sandstone
mywell,2005.4307,32.8778,6.3184,2.2016,0.29992,100.63,8.5,0.2228,Sandstone
mywell,2005.5831,30.0807,6.3071,2.1851,0.231552,102.113,8.5,0.2211,Sandstone
mywell,2005.7355,30.0233,6.2812,2.1691,0.276632,105.349,8.5,0.2108,Sandstone
mywell,2005.8879,33.498,6.3008,2.1958,0.225416,105.499,8.5,0.1769,Sandstone
mywell,2006.0403,43.2913,6.3694,2.1454,0.290472,104.26,8.5,0.1875,Sandstone
mywell,2006.1927,62.7081,6.4355,2.1162,0.3406,104.498,8.5,0.0798,Silty Sand
mywell,2006.3451,74.8216,6.5064,2.1606,0.332072,102.02,8.5,0.0548,Silty Sand
mywell,2006.4975,85.588,6.6102,2.2215,0.380608,100.016,8.5,0.0707,Shale
mywell,2006.6499,88.7651,6.7013,2.1367,0.4058,101.86,8.5,0.0714,Shale
mywell,2006.8023,90.0141,6.6534,2.2054,0.284976,101.999,8.5,0.0381,Shale
mywell,2006.9547,87.67,6.2145,2.1207,0.390144,103.24,8.5,0.0722,Shale
mywell,2007.1071,79.9015,6.3449,2.2271,0.332472,103.25,8.5,0.0459,Silty Sand
mywell,2007.2595,66.7624,6.5186,2.1496,0.226848,102.01,8.5,0.0704,Silty Sand
mywell,2007.4119,52.6856,6.6519,2.1629,0.274608,100.76,8.5,0.123,Silty Sand
mywell,2007.5643,45.5526,6.7036,2.2037,0.254168,100.874,8.5,0.1334,Silty Sand
mywell,2007.7167,42.146,6.6127,2.1673,0.295664,99.511,8.5,0.2073,Sandstone
mywell,2007.8691,40.6945,6.3759,2.169,0.293024,99.252,8.5,0.2044,Sandstone
mywell,2008.0215,39.2416,6.0933,2.2196,0.310856,100.366,8.5,0.2183,Sandstone
mywell,2008.1739,44.6424,5.8718,2.1932,0.313976,103.599,8.5,0.1728,Sandstone
mywell,2008.3263,46.797,5.6716,2.0928,0.27432,106.601,8.5,0.1083,Silty Sand
mywell,2008.4787,51.0409,5.6492,2.1079,0.349392,109.725,8.5,0.1831,Silty Sand
mywell,2008.6311,55.1422,5.6778,2.1586,0.251792,111.362,8.5,0.0839,Silty Sand
mywell,2008.7835,61.9841,5.7216,2.1144,0.292664,111.251,8.5,0.0844,Silty Sand
mywell,2008.9359,59.936,5.8172,2.1358,0.246376,112.366,8.5,0.0828,Silty Sand
mywell,2009.0883,48.0626,5.8527,2.137,0.223184,112.251,8.5,0.1168,Silty Sand
mywell,2009.2407,44.2599,5.8937,2.1687,0.334104,111.63,8.5,0.196,Sandstone
mywell,2009.3931,48.5095,5.9059,2.1363,0.306232,112.493,8.5,0.1606,Silty Sand
mywell,2009.5455,59.6574,5.9546,2.1548,0.386352,112.376,8.5,0.1081,Silty Sand
mywell,2009.6979,64.9024,6.1861,2.1302,0.281848,112.623,8.5,0.0805,Silty Sand
mywell,2009.8503,58.6041,6.3725,2.2232,0.284968,110.517,8.5,0.1,Silty Sand
mywell,2010.0027,49.6597,6.4633,2.1813,0.204648,107.524,8.5,0.1143,Silty Sand
mywell,2010.1551,44.7411,6.3182,2.2118,0.212928,106.88,8.5,0.1478,Sandstone
mywell,2010.3075,49.4725,6.2724,2.1872,0.250696,107.743,8.5,0.1176,Silty Sand
mywell,2010.4599,57.6028,6.2591,2.193,0.288696,108.246,8.5,0.113,Silty Sand
mywell,2010.6123,62.757,6.1965,2.1146,0.381256,110.606,8.5,0.0898,Silty Sand
mywell,2010.7647,67.8711,6.0928,2.1725,0.283792,112.113,8.5,0.0768,Silty Sand
mywell,2010.9171,68.7651,5.8986,2.1046,0.30284,111.629,8.5,0.0795,Silty Sand
mywell,2011.0695,74.0812,5.7095,2.0881,0.338712,115.097,8.5,0.0652,Silty Sand
mywell,2011.2219,84.0212,5.5433,2.0979,0.318168,113.265,8.5,0.0368,Silty Sand
mywell,2011.3743,88.8914,5.3863,2.1139,0.318992,113.126,8.5,0.0419,Shale
mywell,2011.5267,98.5931,5.267,2.114,0.3438,113.001,8.5,0.0593,Shale
mywell,2011.6791,101.1976,5.2452,2.1239,0.323168,111.264,8.5,0.0376,Shale
mywell,2011.8315,100.3807,5.1408,2.1002,0.394424,111.87,8.5,0.0764,Shale
mywell,2011.9839,94.1313,4.9753,2.1099,0.387064,110.511,8.5,0.0664,Shale
mywell,2012.1363,89.2857,4.7667,2.1685,0.300696,109.26,8.5,0.0406,Shale
mywell,2012.2887,93.9669,4.4059,2.1998,0.386304,105.654,8.5,0.0693,Shale
mywell,2012.4411,107.146,4.0975,2.3548,0.403864,102.525,8.5,0.0514,Shale
mywell,2012.5935,126.0653,3.8123,2.4165,0.434752,98.904,8.5,0.0322,Shale
mywell,2012.7459,141.963,3.5253,2.4249,0.394328,98.131,8.5,0.0248,Shale
mywell,2012.8983,140.6784,3.2889,2.3446,0.363248,98.497,8.5,0.0242,Shale
mywell,2013.0507,133.7775,3.0549,2.348,0.384824,101.104,8.5,0.0361,Shale
mywell,2013.2031,130.3323,2.7931,2.2597,0.358216,108.813,8.5,0.0285,Shale
mywell,2013.3555,129.1642,2.5609,2.2828,0.41752,115.075,8.5,0.0288,Shale
mywell,2013.5079,124.7029,2.4419,2.2165,0.434864,120.457,8.5,0.0281,Shale
mywell,2013.6603,127.9456,2.2753,2.2279,0.40524,123.104,8.5,0.0286,Silty Sand
mywell,2013.8127,123.4882,2.2184,2.2726,0.437736,122.009,8.5,0.027,Shale
mywell,2013.9651,122.6594,2.1426,2.2651,0.445936,119.52,8.5,0.0384,Shale
mywell,2014.1175,123.2571,2.0993,2.2531,0.528336,113.3,8.5,0.0292,Shale
mywell,2014.2699,121.6966,2.1774,2.2629,0.451624,112.506,8.5,0.0372,Shale
mywell,2014.4223,124.0589,2.2792,2.2283,0.474808,112.252,8.5,0.0283,Shale
mywell,2014.5747,115.3712,2.41,2.2945,0.454168,114.234,8.5,0.0503,Shale
mywell,2014.7271,122.3224,2.5806,2.2712,0.41928,122.434,8.5,0.037,Shale
mywell,2014.8795,121.1449,2.8657,2.2244,0.464632,125.476,8.5,0.0411,Shale
mywell,2015.0319,122.9861,3.2906,2.2438,0.338024,124.756,8.5,0.0208,Shale
mywell,2015.1843,111.2349,3.7712,2.3065,0.263592,123.51,8.5,0.0265,Shale
mywell,2015.3367,94.0468,4.2551,2.2574,0.265976,115.316,8.5,0.0356,Shale
mywell,2015.4891,74.0918,4.8314,2.2501,0.227312,108.058,8.5,0.0518,Silty Sand
mywell,2015.6415,57.0313,5.2834,2.2183,0.24684,108.0,8.5,0.0822,Silty Sand
mywell,2015.7939,53.1284,5.7304,2.1813,0.27676,104.776,8.5,0.0981,Silty Sand
mywell,2015.9463,47.2164,7.099,2.1889,0.240296,105.99,8.5,0.1251,Silty Sand
mywell,2016.0987,49.4079,7.4483,2.1672,0.273728,106.744,8.5,0.118,Silty Sand
mywell,2016.2511,41.2668,7.206,2.173,0.263088,108.982,8.5,0.1651,Sandstone
mywell,2016.4035,43.2693,6.8141,2.1591,0.365176,109.496,8.5,0.2442,Sandstone
mywell,2016.5559,40.5332,6.4489,2.1431,0.268784,109.748,8.5,0.1644,Sandstone
mywell,2016.7083,43.6923,6.2962,2.1321,0.249152,111.238,8.5,0.1527,Sandstone
mywell,2016.8607,40.3581,6.1908,2.1062,0.312488,111.746,8.5,0.2077,Sandstone
mywell,2017.0131,44.179,6.063,2.0941,0.281256,113.734,8.5,0.1555,Sandstone
mywell,2017.1655,54.2024,5.9836,2.1119,0.287944,114.742,8.5,0.1319,Silty Sand
mywell,2017.3179,67.4211,6.0901,2.1467,0.428864,115.742,8.5,0.0745,Silty Sand
mywell,2017.4703,79.0798,6.3876,2.1004,0.562928,119.842,8.5,0.0764,Silty Sand
mywell,2017.6227,82.7472,6.7005,1.8451,0.58384,126.695,8.5,0.0504,Shale
mywell,2017.7751,79.0014,6.9768,1.6535,0.417344,125.758,8.5,0.0721,Silty Sand
mywell,2017.9275,66.8666,7.2974,1.8107,0.385248,125.378,8.5,0.0774,Silty Sand
mywell,2018.0799,52.5993,7.5351,2.0173,0.258024,119.795,8.5,0.1224,Silty Sand
mywell,2018.2323,38.3529,7.5638,2.1132,0.263944,112.434,8.5,0.1757,Sandstone
mywell,2018.3847,35.4525,7.692,2.112,0.306656,109.523,8.5,0.2122,Sandstone
mywell,2018.5371,37.419,7.7208,2.1586,0.289144,108.508,8.5,0.1913,Sandstone
mywell,2018.6895,42.0766,7.6476,2.1203,0.286024,107.756,8.5,0.1773,Sandstone
mywell,2018.8419,41.0,7.5498,2.1746,0.262192,107.75,8.5,0.164,Sandstone
mywell,2018.9943,45.8984,7.422,2.1998,0.226288,106.882,8.5,0.1436,Silty Sand
mywell,2019.1467,44.201,7.3516,2.1732,0.263696,106.255,8.5,0.1504,Sandstone
mywell,2019.2991,44.6969,7.2637,2.1978,0.27392,105.506,8.5,0.1438,Sandstone
mywell,2019.4515,37.7689,7.2412,2.202,0.260112,106.74,8.5,0.1727,Sandstone
mywell,2019.6039,40.5352,7.2251,2.1792,0.325472,107.122,8.5,0.2099,Sandstone
mywell,2019.7563,37.2001,7.1913,2.1453,0.302192,106.877,8.5,0.2126,Sandstone
mywell,2019.9087,39.0975,7.1503,2.1827,0.31688,107.991,8.5,0.2169,Sandstone
mywell,2020.0611,37.0576,7.0597,2.1909,0.274344,108.124,8.5,0.182,Sandstone
mywell,2020.2135,40.3156,6.9796,2.1791,0.258128,108.993,8.5,0.1651,Sandstone
mywell,2020.3659,41.7368,6.8957,2.1691,0.266928,110.364,8.5,0.1651,Sandstone
mywell,2020.5183,45.9789,6.8325,2.165,0.323544,110.499,8.5,0.1891,Silty Sand
mywell,2020.6707,53.3727,6.7715,2.1392,0.359712,109.26,8.5,0.1894,Silty Sand
mywell,2020.8231,60.1965,6.6202,2.1122,0.3848,110.49,8.5,0.1339,Silty Sand
mywell,2020.9755,72.4804,6.5069,2.11,0.30564,110.624,8.5,0.0761,Silty Sand
mywell,2021.1279,77.3743,6.4118,2.1199,0.422056,111.865,8.5,0.1041,Silty Sand
mywell,2021.2803,80.9068,6.3435,2.114,0.394232,113.115,8.5,0.0881,Silty Sand
mywell,2021.4327,80.7118,6.2716,2.1319,0.3444,113.249,8.5,0.0534,Silty Sand
mywell,2021.5851,81.8994,6.1956,2.137,0.266624,113.498,8.5,0.0421,Silty Sand
mywell,2021.7375,81.8455,6.1315,2.1102,0.283856,113.004,8.5,0.0404,Silty Sand
mywell,2021.8899,80.1576,6.0576,2.1021,0.285984,112.38,8.5,0.0405,Silty Sand
mywell,2022.0423,80.0418,6.057,2.1318,0.3356,113.367,8.5,0.0544,Silty Sand
mywell,2022.1947,81.781,6.0411,2.1449,0.354848,113.375,8.5,0.0861,Silty Sand
mywell,2022.3471,80.6125,6.0529,2.151,0.344088,113.499,8.5,0.0478,Silty Sand
mywell,2022.4995,87.181,6.0718,2.1411,0.315232,113.252,8.5,0.0416,Shale
mywell,2022.6519,90.6693,6.1206,2.1608,0.320952,113.374,8.5,0.0488,Shale
mywell,2022.8043,93.4012,6.1637,2.161,0.321,110.647,8.5,0.0488,Shale
mywell,2022.9567,80.8514,6.1997,2.1322,0.3706,108.641,8.5,0.0937,Silty Sand
mywell,2023.1091,77.9,6.1782,2.1647,0.36108,107.757,8.5,0.0854,Silty Sand
mywell,2023.2615,85.4777,6.1522,2.2454,0.35604,107.998,8.5,0.0686,Shale
mywell,2023.4139,102.6421,6.1381,2.2083,0.356992,110.976,8.5,0.0589,Shale
mywell,2023.5663,108.1547,6.1082,2.1713,0.294504,113.48,8.5,0.034,Shale
mywell,2023.7187,109.685,6.0743,2.165,0.240432,114.864,8.5,0.0323,Shale
mywell,2023.8711,111.6046,6.0145,2.159,0.364,116.115,8.5,0.0524,Shale
mywell,2024.0235,126.3095,5.9793,2.1223,0.383848,115.753,8.5,0.0309,Shale
mywell,2024.1759,145.6182,5.9076,2.1299,0.39888,115.502,8.5,0.0337,Shale
mywell,2024.3283,159.9566,5.7949,2.1449,0.392056,112.524,8.5,0.0182,Shale
mywell,2024.4807,159.9222,5.6601,2.1767,0.318592,109.276,8.5,0.0078,Shale
mywell,2024.6331,148.3235,5.5132,2.1998,0.385456,107.514,8.5,0.0394,Shale
mywell,2024.7855,133.1357,5.3414,2.2704,0.357232,106.88,8.5,0.0443,Shale
mywell,2024.9379,129.3515,5.1406,2.2363,0.344104,110.099,8.5,0.0284,Shale
mywell,2025.0903,125.5951,4.9118,2.2241,0.40352,110.497,8.5,0.0279,Silty Sand
mywell,2025.2427,131.1559,4.781,2.2786,0.43872,111.988,8.5,0.0326,Shale
mywell,2025.3951,133.1205,4.6937,2.2611,0.421144,113.24,8.5,0.0352,Shale
mywell,2025.5475,136.985,4.7456,2.3374,0.370408,112.258,8.5,0.0313,Shale
mywell,2025.6999,139.6904,4.7807,2.2507,0.364048,111.382,8.5,0.0237,Shale
mywell,2025.8523,141.5164,4.7522,2.2123,0.404672,109.515,8.5,0.0243,Shale
mywell,2026.0047,143.637,4.8314,2.2338,0.423848,108.88,8.5,0.0254,Shale
mywell,2026.1571,144.7819,5.0056,2.2201,0.398208,109.371,8.5,0.0324,Shale
mywell,2026.3095,149.8294,5.1489,2.2438,0.32856,109.499,8.5,0.0266,Shale
mywell,2026.4619,156.2625,5.2323,2.238,0.38752,109.624,8.5,0.0182,Shale
mywell,2026.6143,153.8578,5.3233,2.2082,0.3384,110.245,8.5,0.014,Shale
mywell,2026.7667,143.4726,5.4093,2.206,0.311216,110.87,8.5,0.0084,Shale
mywell,2026.9191,132.0018,5.5419,2.1653,0.379448,108.643,8.5,0.0411,Shale
mywell,2027.0715,121.3085,5.7642,2.1997,0.397856,106.393,8.5,0.051,Shale
mywell,2027.2239,107.8637,5.9277,2.2565,0.369232,104.763,8.5,0.0552,Shale
mywell,2027.3763,93.5039,6.0222,2.38,0.350152,105.37,8.5,0.0691,Shale
mywell,2027.5287,75.3842,6.1063,2.2372,0.32024,107.855,8.5,0.0576,Silty Sand
mywell,2027.6811,67.0302,6.2012,2.1398,0.304128,109.487,8.5,0.0754,Silty Sand
mywell,2027.8335,65.1169,6.3528,2.1023,0.337728,111.856,8.5,0.0788,Silty Sand
mywell,2027.9859,69.2892,6.5207,2.0792,0.35288,114.107,8.5,0.0858,Silty Sand
mywell,2028.1383,67.1257,6.6063,2.0899,0.324232,113.381,8.5,0.0749,Silty Sand
mywell,2028.2907,66.74,6.6149,2.0999,0.291264,112.507,8.5,0.0815,Silty Sand
mywell,2028.4431,65.5347,6.5545,2.1198,0.339608,111.508,8.5,0.0788,Silty Sand
mywell,2028.5955,67.9901,6.4846,2.1319,0.288416,111.748,8.5,0.0864,Silty Sand
mywell,2028.7479,69.1141,6.4503,2.1568,0.368352,111.998,8.5,0.0801,Silty Sand
mywell,2028.9003,69.0853,6.4292,2.1183,0.288648,111.628,8.5,0.0871,Silty Sand
mywell,2029.0527,69.9312,6.4409,2.1359,0.33264,112.369,8.5,0.0877,Silty Sand
mywell,2029.2051,71.1889,6.4073,2.1241,0.305224,112.003,8.5,0.0777,Silty Sand
mywell,2029.3575,70.5006,6.3386,2.1101,0.382376,111.38,8.5,0.0849,Silty Sand
mywell,2029.5099,76.4907,6.219,2.1626,0.350264,110.755,8.5,0.0961,Silty Sand
mywell,2029.6623,76.8336,6.0196,2.1928,0.3996,107.898,8.5,0.0986,Silty Sand
mywell,2029.8147,90.9621,5.8533,2.2238,0.379168,107.875,8.5,0.0791,Shale
mywell,2029.9671,101.9672,5.7736,2.2766,0.379992,107.007,8.5,0.0747,Shale
mywell,2030.1195,110.1864,5.6282,2.277,0.393888,105.016,8.5,0.0547,Shale
mywell,2030.2719,110.621,5.25,2.2889,0.4188,101.9,8.5,0.0541,Shale
mywell,2030.4243,103.0213,4.6548,2.3396,0.385272,98.155,8.5,0.0557,Shale
mywell,2030.5767,106.5084,4.028,2.3926,0.306632,93.909,8.5,0.0373,Shale
mywell,2030.7291,115.4333,3.6262,2.3523,0.344688,93.131,8.5,0.0305,Shale
mywell,2030.8815,125.9041,3.3581,2.35,0.324168,97.961,8.5,0.0217,Shale
mywell,2031.0339,120.3733,3.0276,2.3183,0.432128,113.748,8.5,0.0367,Shale
mywell,2031.1863,114.5664,2.6689,2.2386,0.459784,125.779,8.5,0.0514,Shale
mywell,2031.3387,114.9426,2.3069,2.111,0.481824,131.951,8.5,0.0569,Shale
mywell,2031.4911,116.8903,1.9687,2.2558,0.51672,131.504,8.5,0.0421,Shale
mywell,2031.6435,126.4213,1.8976,2.2342,0.426728,120.092,8.5,0.0257,Shale
mywell,2031.7959,121.3684,1.8881,2.2479,0.437904,115.04,8.5,0.0366,Shale
mywell,2031.9483,129.6737,1.8801,2.1964,0.460816,112.024,8.5,0.0341,Shale
mywell,2032.1007,119.4857,1.8254,2.2942,0.43124,109.768,8.5,0.0342,Shale
mywell,2032.2531,123.8115,1.8319,2.1274,0.407192,112.974,8.5,0.0328,Shale
mywell,2032.4055,123.599,1.8122,2.3075,0.443704,111.76,8.5,0.0292,Shale
mywell,2032.5579,124.9967,1.8884,2.2009,0.457888,108.774,8.5,0.028,Shale
mywell,2032.7103,129.8539,2.017,2.2496,0.427248,113.462,8.5,0.0331,Shale
mywell,2032.8627,125.6125,2.0359,2.248,0.36252,113.996,8.5,0.0261,Shale
mywell,2033.0151,125.9986,2.0241,2.242,0.388784,115.736,8.5,0.0256,Shale
mywell,2033.1675,112.2866,2.0865,2.2162,0.4634,118.23,8.5,0.0471,Shale
mywell,2033.3199,113.0281,2.1713,2.2745,0.45408,115.522,8.5,0.0439,Shale
mywell,2033.4723,112.9903,2.4756,2.273,0.497648,113.02,8.5,0.0446,Shale
mywell,2033.6247,119.1692,2.8431,2.3087,0.351184,109.28,8.5,0.0326,Shale
mywell,2033.7771,114.511,3.1248,2.2753,0.350992,101.81,8.5,0.0494,Shale
mywell,2033.9295,108.3295,3.4692,2.2631,0.325208,97.286,8.5,0.0398,Shale
mywell,2034.0819,98.6427,4.0682,2.2263,0.363688,95.266,8.5,0.0735,Shale
mywell,2034.2343,92.3015,4.7793,2.2627,0.419552,96.986,8.5,0.069,Shale
mywell,2034.3867,83.7872,5.5201,2.1836,0.327744,99.976,8.5,0.0371,Silty Sand
mywell,2034.5391,75.5032,6.4367,2.1225,0.309144,105.704,8.5,0.0582,Silty Sand
mywell,2034.6915,65.9991,6.8587,2.0734,0.3834,108.602,8.5,0.0785,Silty Sand
mywell,2034.8439,59.7051,6.8362,2.0611,0.30464,110.237,8.5,0.1179,Silty Sand
mywell,2034.9963,53.0681,6.4878,2.0729,0.315904,111.118,8.5,0.1438,Silty Sand
mywell,2035.1487,55.8164,6.2449,2.0631,0.391392,112.489,8.5,0.1198,Silty Sand
mywell,2035.3011,57.8448,6.1934,2.0392,0.343392,115.848,8.5,0.1009,Silty Sand
mywell,2035.4535,63.9668,6.1374,2.0836,0.340024,114.511,8.5,0.0807,Silty Sand
mywell,2035.6059,68.7419,6.1082,2.0205,0.298336,114.748,8.5,0.087,Silty Sand
mywell,2035.7583,68.1163,6.104,2.0349,0.36248,114.998,8.5,0.0782,Silty Sand
mywell,2035.9107,69.9234,6.1189,2.0707,0.314392,114.132,8.5,0.0859,Silty Sand
mywell,2036.0631,62.875,6.1567,2.0531,0.386416,112.885,8.5,0.0881,Silty Sand
mywell,2036.2155,67.8584,6.1788,2.0669,0.356248,113.495,8.5,0.0833,Silty Sand
mywell,2036.3679,69.9544,6.2375,2.0432,0.384768,113.872,8.5,0.087,Silty Sand
mywell,2036.5203,78.8593,6.3104,2.1015,0.351272,113.131,8.5,0.079,Silty Sand
mywell,2036.6727,81.8058,6.3854,2.1298,0.335128,111.265,8.5,0.0532,Silty Sand
mywell,2036.8251,81.8637,6.4217,2.1488,0.365752,109.39,8.5,0.0823,Silty Sand
mywell,2036.9775,79.9822,6.3149,2.2958,0.436432,107.267,8.5,0.079,Silty Sand
mywell,2037.1299,85.182,6.1225,2.3764,0.378472,106.01,8.5,0.0712,Shale
mywell,2037.2823,107.1413,5.9613,2.3264,0.362128,104.512,8.5,0.0548,Shale
mywell,2037.4347,122.8418,5.7626,2.2367,0.32728,104.624,8.5,0.0199,Shale
mywell,2037.5871,122.3787,5.6231,2.3084,0.370648,103.881,8.5,0.051,Shale
mywell,2037.7395,111.6316,5.4573,2.312,0.352152,103.751,8.5,0.0548,Shale
mywell,2037.8919,107.7198,5.3042,2.2991,0.387712,104.37,8.5,0.0647,Shale
mywell,2038.0443,118.5772,5.1939,2.2573,0.337408,104.995,8.5,0.0285,Shale
mywell,2038.1967,117.0827,5.1365,2.2481,0.329064,105.124,8.5,0.0235,Shale
mywell,2038.3491,118.056,5.0656,2.2629,0.31412,103.265,8.5,0.0227,Shale
mywell,2038.5015,106.6292,5.0035,2.3136,0.336816,101.514,8.5,0.0359,Shale
mywell,2038.6539,108.8811,4.9544,2.2713,0.331048,100.756,8.5,0.0324,Shale
mywell,2038.8063,102.7169,4.8042,2.3176,0.332984,103.85,8.5,0.035,Shale
mywell,2038.9587,107.6399,4.6661,2.2932,0.329032,102.883,8.5,0.0371,Shale
mywell,2039.1111,102.6287,4.4854,2.2484,0.227816,104.859,8.5,0.0279,Shale
mywell,2039.2635,105.8398,4.3441,2.2966,0.304376,103.635,8.5,0.0335,Shale
mywell,2039.4159,101.773,4.2994,2.2791,0.321864,102.013,8.5,0.037,Shale
mywell,2039.5683,104.8152,4.2712,2.3197,0.357712,100.264,8.5,0.0525,Shale
mywell,2039.7207,99.9058,4.2402,2.324,0.356016,100.126,8.5,0.0648,Shale
mywell,2039.8731,99.3442,4.0803,2.328,0.332192,100.249,8.5,0.0486,Shale
mywell,2040.0255,106.6342,3.8171,2.3052,0.332,100.25,8.5,0.0419,Shale
mywell,2040.1779,114.2947,3.7029,2.2772,0.4064,103.97,8.5,0.0442,Shale
mywell,2040.3303,118.9738,3.4877,2.3068,0.467512,111.316,8.5,0.0342,Shale
mywell,2040.4827,122.0177,3.3759,2.2891,0.366816,116.831,8.5,0.0366,Shale
mywell,2040.6351,124.4615,3.3294,2.2632,0.423536,122.083,8.5,0.0256,Shale
mywell,2040.7875,125.1724,3.2734,2.2501,0.387296,122.497,8.5,0.0243,Shale
mywell,2040.9399,126.4339,3.3117,2.2688,0.417752,117.168,8.5,0.0256,Shale
mywell,2041.0923,132.0488,3.5709,2.3295,0.4428,108.941,8.5,0.028,Shale
mywell,2041.2447,140.3604,3.9232,2.336,0.384472,100.071,8.5,0.0239,Shale
mywell,2041.3971,145.9038,4.3327,2.4451,0.375072,95.536,8.5,0.0319,Shale
mywell,2041.5495,144.0979,4.9996,2.4837,0.29068,92.276,8.5,0.015,Shale
mywell,2041.7019,128.0205,5.9266,2.3997,0.286032,97.086,8.5,0.0189,Shale
mywell,2041.8543,96.2858,6.5371,2.3097,0.346512,99.729,8.5,0.0591,Shale
mywell,2042.0067,63.8415,6.7275,2.2594,0.347992,103.842,8.5,0.0743,Silty Sand
mywell,2042.1591,50.8854,6.9224,2.1717,0.300384,108.835,8.5,0.1494,Silty Sand
mywell,2042.3115,42.724,7.0331,2.165,0.236512,109.123,8.5,0.1696,Sandstone
mywell,2042.4639,42.3664,6.8693,2.1491,0.230048,107.761,8.5,0.1708,Sandstone
mywell,2042.6163,46.1187,6.6884,2.2016,0.31928,109.362,8.5,0.1829,Silty Sand
mywell,2042.7687,55.4817,6.6027,2.1613,0.372576,106.647,8.5,0.1328,Silty Sand
mywell,2042.9211,67.591,6.4929,2.1392,0.35316,105.509,8.5,0.0776,Silty Sand
mywell,2043.0735,68.6334,6.37,2.141,0.373832,104.384,8.5,0.0763,Silty Sand
mywell,2043.2259,72.4582,6.3482,2.266,0.290672,104.995,8.5,0.0937,Silty Sand
mywell,2043.3783,74.9244,6.2805,2.2224,0.308848,106.116,8.5,0.0626,Silty Sand
mywell,2043.5307,77.6264,6.162,2.2399,0.405224,106.001,8.5,0.0978,Silty Sand
mywell,2043.6831,81.3561,5.9318,2.2886,0.32168,105.504,8.5,0.0451,Silty Sand
mywell,2043.8355,78.9328,5.8149,2.2325,0.309096,102.4,8.5,0.0525,Silty Sand
mywell,2043.9879,79.907,5.8854,2.2866,0.33876,102.499,8.5,0.0447,Silty Sand
